Filename,NumPeaks,H2_Amplitude,H4_Amplitude,H4_to_H2_Ratio,DominantHarmonic,FirstHalfMeanAngle,FirstHalfNumPeaks,OrientationAnglesMean,OrientaionPeaks
w137 d14 400 con t6_OJ_Distribution,4,0.11465817208845759,0.08023661372253403,0.6997897512323179,2,,,120.0,2.0
w137 d14 800 con t6_OJ_Distribution,6,0.13691213762380153,0.09645238591036165,0.704483821408058,2,,,47.5,3.0
w137 d28 400 con tray 9_OJ_Distribution,2,0.12903559026677588,0.072850190979048,0.5645744001979079,2,,,,1.0
w137 d28 400 exp tray 5_OJ_Distribution,6,0.10908170077272686,0.08644831210355139,0.7925097563675466,2,,,72.5,3.0
w137 d28 800 con tray 5_OJ_Distribution,6,0.17530711263322965,0.015420707083131854,0.08796395566330743,2,,,67.5,3.0
w137 d28 800 exp tray 4_OJ_Distribution,7,0.0722086957055413,0.038910942013857905,0.5388678141000112,2,,,50.0,4.0
w164 d14 400 con t5_OJ_Distribution,4,0.05965055715119833,0.12137799991184056,2.034817539158596,4,,,100.0,2.0
w164 d14 800 con t6_OJ_Distribution,4,0.05916147216804954,0.050548316557462204,0.8544127572396869,2,,,60.0,2.0
w164 d28 400 con tray 5_OJ_Distribution,4,0.09877773636650164,0.10539773799951829,1.0670191672387999,4,,,100.0,2.0
w164 d28 400 exp tray 5_OJ_Distribution,4,0.11466662284444268,0.11730654785083085,1.0230226105984608,4,,,75.0,2.0
w164 d28 800 con tray 6_OJ_Distribution,8,0.10021647211439745,0.023471790922021566,0.23421090791570107,2,,,45.0,4.0
w164 d28 800 exp tray 5_OJ_Distribution,4,0.15425628630135746,0.01731254900362297,0.11223237262305737,2,,,145.0,2.0
w184 d14 400 con t7_OJ_Distribution,4,0.15431616085887315,0.09811998436881524,0.635837386199291,2,,,70.0,2.0
w184 d14 800 con t7_OJ_Distribution,4,0.12864831507668179,0.06200888974779782,0.48200312387175037,2,,,50.0,2.0
w184 d28 400 con tray 7_OJ_Distribution,4,0.13499238617341072,0.0699957106356793,0.5185159890852146,2,,,130.0,2.0
w184 d28 400 exp tray 4_OJ_Distribution,4,0.06362481510124345,0.1014876032589253,1.5950946670325472,4,,,75.0,2.0
w184 d28 800 con t8_OJ_Distribution,2,0.17863421190960177,0.08637800396283409,0.4835468135664061,2,,,,1.0
w184 d28 800 exp tray 5_OJ_Distribution,4,0.08487544664539916,0.08664784284255839,1.0208823195306898,4,,,70.0,2.0
w184 d7 400 con t5_OJ_Distribution,4,0.1177448364985763,0.13387882999650913,1.1370250618007178,4,,,70.0,2.0
w184 d7 800 con t5_OJ_Distribution,6,0.08753078934175518,0.02683792174877242,0.3066112159001154,2,,,57.5,3.0
